Timestamp,Image,Drone_Lat,Drone_Lon,Drone_Alt,Centroid_X,Centroid_Y,Est_Lat,Est_Lon
2025-02-06_07-35-52,data/2025-02-06/2025-02-06_07-35-52.jpg,45.5113205,-73.6225109,5.32,748,562,45.51133352412451,-73.62251829415014
2025-02-06_07-35-52,data/2025-02-06/2025-02-06_07-35-52.jpg,45.5113215,-73.622509,5.234,745,547,45.51133349620002,-73.62251581402202
2025-02-06_07-35-53,data/2025-02-06/2025-02-06_07-35-53.jpg,45.5113204,-73.6225104,5.336,746,540,45.51133231318651,-73.62251716344022
2025-02-06_07-35-54,data/2025-02-06/2025-02-06_07-35-54.jpg,45.5113207,-73.6225093,5.304,748,533,45.51133226121006,-73.62251586361361
2025-02-06_07-35-54,data/2025-02-06/2025-02-06_07-35-54.jpg,45.51132,-73.6225108,5.274,743,530,45.51133120334046,-73.6225171636656
2025-02-06_07-35-55,data/2025-02-06/2025-02-06_07-35-55.jpg,45.5113203,-73.6225123,5.328,743,529,45.51133157017488,-73.62251869838494
2025-02-06_07-35-55,data/2025-02-06/2025-02-06_07-35-55.jpg,45.5113206,-73.6225098,5.363,743,525,45.511331748291525,-73.62251613239705
2025-02-06_07-35-56,data/2025-02-06/2025-02-06_07-35-56.jpg,45.5113209,-73.6225097,5.182,740,521,45.51133139617368,-73.62251566198427
2025-02-06_07-35-56,data/2025-02-06/2025-02-06_07-35-56.jpg,45.5113204,-73.6225089,5.29,741,517,45.51133095398455,-73.62251489482166
2025-02-06_07-35-57,data/2025-02-06/2025-02-06_07-35-57.jpg,45.5113207,-73.6225082,5.225,739,499,45.511330229196545,-73.62251361272662
2025-02-06_07-35-57,data/2025-02-06/2025-02-06_07-35-57.jpg,45.5113207,-73.6225065,5.4,734,498,45.5113303353891,-73.62251197581914
2025-02-06_07-35-58,data/2025-02-06/2025-02-06_07-35-58.jpg,45.5113208,-73.6225067,5.355,731,499,45.51133030733646,-73.62251210304645
2025-02-06_07-35-58,data/2025-02-06/2025-02-06_07-35-58.jpg,45.5113206,-73.6225083,5.341,734,499,45.51133017733945,-73.62251374282936
2025-02-06_07-35-59,data/2025-02-06/2025-02-06_07-35-59.jpg,45.51132,-73.6225101,5.287,733,493,45.51132916916566,-73.62251531086292
2025-02-06_07-36-00,data/2025-02-06/2025-02-06_07-36-00.jpg,45.51132,-73.6225071,5.22,785,433,45.511329055717916,-73.62251224639024
2025-02-06_07-36-00,data/2025-02-06/2025-02-06_07-36-00.jpg,45.5113199,-73.6225062,5.239,1065,185,45.51134563213723,-73.62252082365139
